ID,survey_time,surv_t,feed,trip_purp,ac_st,mode,tt,tc,b1,b2,b3,b4,b5,c1,c2,c3,c4,trip_freq,gen_purp,age,gen,occ,month_inc,veh_own_car,veh_own_bike,veh_own_cyc,mrt_pass,bus_av,car_av,leg_av,rick_av,walk_av,bike_av,cng_av,car_dist,car_tt,car_cost,bus_dist,bus_tt,bus_cost,leg_dist,leg_tt,leg_cost,walk_dist,walk_tt,walk_cost,bike_dist,bike_tt,bike_cost,rick_dist,rick_tt,rick_cost,cng_dist,cng_tt,cng_cost
20,11:18:00 AM,2,1,6,14,1,15,10,0,0,0,0,0,0,0,0,0,4,6,20,1,1,5,1,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,11.2,25,168,13.5,89,35,11.2,73,61,10,139,0,11.2,52.7,188,10,80.8,175,11.2,60.9,376
21,11:25:00 AM,2,1,6,14,2,25,75,0,0,0,0,0,0,1,0,0,4,6,20,1,1,20,1,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,0,1,2.4,10,36,2.4,33,10,2.4,15.6,17,2.4,33,0,2.4,11.3,56,2.4,19.4,55,2.4,13.1,130
22,11:45:00 AM,2,1,7,13,1,5,10,1,0,0,1,0,0,0,0,0,4,4,20,0,1,20,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2,8,30,0.9,12,10,2,13,15,0.9,12,0,2,9.4,50,0.9,7.3,25,2,10.9,100
23,12:30:00 PM,2,1,6,13,7,15,10,0,0,0,0,0,0,0,0,0,4,6,20,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.3,6,20,0.9,13,10,1.3,8.5,15,0.9,13,0,1.3,6.1,40,0.9,7.3,25,1.3,7.1,100
24,1:03:00 PM,3,1,4,12,1,5,10,1,0,0,0,0,0,0,0,0,5,4,30,0,4,30,0,1,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
25,1:08:00 PM,3,1,4,12,1,5,10,0,0,0,0,0,0,0,0,0,6,4,30,0,4,60,0,1,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
26,1:20:00 PM,3,1,8,12,2,25,75,0,0,0,0,0,0,0,1,0,5,1,30,0,5,80,0,1,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
27,1:22:00 PM,3,1,8,12,2,25,75,0,0,0,0,0,0,0,1,0,4,1,40,0,5,150,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
28,1:50:00 PM,3,1,4,1,1,5,10,0,1,0,0,0,0,0,0,0,6,4,30,1,4,30,0,1,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2,5,30,1.9,27,10,2,13,15,1.9,27,0,2,9.4,50,1.9,15.4,40,2,10.9,100
29,2:10:00 PM,3,1,7,12,2,15,10,0,0,0,0,0,0,0,1,0,3,6,20,0,1,20,0,1,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2.8,12,42,1,14,10,2.8,18.2,19,1,14,0,2.8,13.2,62,1,8.1,30,2.8,15.2,130
