ID,survey_time,surv_t,trip_purp,ac_st,ac_mode,ac_tt,ac_tc,b1,b2,b3,b4,b5,ac1,ac2,ac3,ac4,trip_freq,gen_purp,age,gen,occ,month_inc,veh_own_car,veh_own_bike,veh_own_cyc,mrt_pass,bus_av,car_av,leg_av,rick_av,walk_av,bike_av,cng_av,car_dist,car_tt,car_cost,bus_dist,bus_tt,bus_cost,leg_dist,leg_tt,leg_cost,walk_dist,walk_tt,walk_cost,bike_dist,bike_tt,bike_cost,rick_dist,rick_tt,rick_cost,cng_dist,cng_tt,cng_cost
1,12:30:00 PM,2,2,13,2,15,35,0,0,0,0,1,0,0,1,0,6,2,20,0,1,5,0,0,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0.001,1,0,0,5,10,0.001,0,10,0.001,1,0,0.001,0,20,0.001,0,20,0.001,0,100
2,12:30:00 PM,2,7,13,7,15,75,0,0,0,0,0,0,0,0,0,6,2,20,0,1,5,1,1,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0.001,1,0,0,5,10,0.001,0,10,0.001,1,0,0.001,0,20,0.001,0,20,0.001,0,100
3,12:30:00 PM,2,7,13,2,5,35,1,0,0,0,0,0,0,0,0,4,5,40,0,3,80,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,6.7,18,101,6.5,51,15,6.7,43.7,38.5,6.1,86,0,6.7,31.5,121,6.1,49.3,110,6.7,36.4,241
4,12:30:00 PM,2,2,13,7,15,75,1,0,0,0,1,0,1,0,0,4,2,20,0,1,5,0,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3.1,12,47,3.5,35,10,3.1,20.2,20.5,2.9,40,0,3.1,14.6,67,2.9,23.4,60,3.1,16.9,133
5,12:30:00 PM,2,2,13,2,5,10,0,1,0,0,0,0,0,0,0,5,2,40,0,3,60,0,0,0,1,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0.001,1,0,0,5,10,0.001,0,10,0.001,1,0,0.001,0,20,0.001,0,20,0.001,0,100
6,12:30:00 PM,2,7,13,7,15,35,0,0,0,0,1,0,0,0,0,5,2,20,1,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,1.2,4,18,1.6,19,10,1.2,7.8,15,1.2,17,0,1.2,5.6,38,1.2,9.7,30,1.2,6.5,100
7,12:30:00 PM,2,4,13,2,15,150,0,1,0,0,0,0,0,0,0,4,4,30,1,3,60,0,0,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,12.3,31,185,10.1,69,25,12.3,80.1,66.5,9.7,137,0,12.3,57.9,205,9.7,78.4,170,12.3,66.9,409
8,12:30:00 PM,2,2,13,2,15,35,1,0,0,0,0,0,1,0,0,6,2,20,1,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,1.9,6,29,2.3,26,10,1.9,12.4,15,1.9,27,0,1.9,8.9,49,1.9,15.4,40,1.9,10.3,100
9,12:30:00 PM,2,4,13,7,70,150,0,1,0,0,0,0,0,0,0,6,4,40,0,4,60,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,2.9,10,44,3.7,32,10,2.9,18.9,19.5,2.9,40,0,2.9,13.7,64,2.9,23.4,60,2.9,15.8,130
10,12:30:00 PM,2,7,13,1,5,10,0,0,0,0,0,0,0,0,0,3,3,70,0,5,30,0,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0.1,1,2,0.1,2,10,0.1,0.7,10,0.1,2,0,0.1,0.5,22,0.1,0.8,20,0.1,0.5,100
