ID,survey_time,surv_t,trip_purp,eg_st,eg_mode,eg_tt,eg_tc,b1,b2,b3,b4,b5,ec1,ec2,ec3,ec4,trip_freq,gen_purp,age,gen,occ,month_inc,veh_own_car,veh_own_bike,veh_own_cyc,mrt_pass,bus_av,car_av,leg_av,rick_av,walk_av,bike_av,cng_av,car_dist,car_tt,car_cost,bus_dist,bus_tt,bus_cost,leg_dist,leg_tt,leg_cost,walk_dist,walk_tt,walk_cost,bike_dist,bike_tt,bike_cost,rick_dist,rick_tt,rick_cost,cng_dist,cng_tt,cng_cost
841,4:10:00 PM,4,2,9,7,30,10,0,0,0,0,0,0,0,0,0,5,2,20,0,1,20,0,1,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,4.2,22.90909091,63,4.2,33,10.29,4.2,27.39130435,26,3.5,48,0,4.2,19.84251969,70.4,3.5,28.28,68,4.2,22.90909091,166
842,4:17:00 PM,4,6,9,7,20,15,0,0,0,0,0,0,0,1,0,2,6,20,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2.8,15.27272727,42,2.1,28,10,2.8,18.26086957,19,2.1,29,0,2.8,13.22834646,53.6,2.1,16.968,45.6,2.8,15.27272727,130
843,4:22:00 PM,4,1,5,2,15,40,0,0,0,0,0,0,0,0,0,4,1,40,0,5,80,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,3.6,19.63636364,54,3.3,44,10,3.6,23.47826087,23,3.3,44,0,3.6,17.00787402,63.2,3.3,26.664,64.8,3.6,19.63636364,148
844,4:47:00 PM,4,7,9,2,15,30,1,0,0,0,0,0,0,0,0,5,4,30,0,4,30,0,1,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,5.4,29.45454545,81,4.7,52,11.515,5.4,35.2173913,32,4.3,60,0,5.4,25.51181102,84.8,4.3,34.744,80.8,5.4,29.45454545,202
845,5:17:00 PM,5,7,4,2,20,60,0,0,0,0,0,0,0,0,0,4,4,30,0,4,30,0,0,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,7.8,42.54545455,117,8.8,59,21.56,7.8,50.86956522,44,7.1,98,0,7.8,36.8503937,113.6,7.1,57.368,125.6,7.8,42.54545455,274
846,5:41:00 PM,5,7,2,2,15,30,0,0,0,0,0,0,0,0,0,4,1,40,0,5,80,0,1,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,2.2,12,33,1.3,17,10,2.2,14.34782609,16,1.3,17,0,2.2,10.39370079,46.4,1.3,10.504,29.6,2.2,12,130
847,5:46:00 PM,5,7,14,2,20,50,0,1,0,0,0,0,0,0,0,5,4,30,0,3,20,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1.9,10.36363636,28.5,1.8,29,10,1.9,12.39130435,15,1.7,24,0,1.9,8.976377953,42.8,1.7,13.736,34.4,1.9,10.36363636,100
848,5:58:00 PM,5,7,1,2,20,50,0,0,0,0,0,0,0,0,0,5,4,30,0,3,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2,10.90909091,30,1.9,27,10,2,13.04347826,15,1.9,27,0,2,9.448818898,44,1.9,15.352,36.8,2,10.90909091,100
849,5:58:00 PM,5,3,16,2,10,30,0,0,0,0,0,0,0,1,0,1,3,40,1,2,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,0.7,3.818181818,10.5,0.5,7,10,0.7,4.565217391,10,0.5,7,0,0.7,3.307086614,28.4,0.5,4.04,20,0.7,3.818181818,100
850,6:09:00 PM,5,7,15,1,10,0,1,0,0,0,0,0,0,0,0,4,4,30,0,4,30,0,0,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0.7,3.818181818,10.5,0.6,9,10,0.7,4.565217391,10,0.6,9,0,0.7,3.307086614,28.4,0.6,4.848,21.2,0.7,3.818181818,100
851,6:17:00 PM,5,6,9,2,10,30,0,0,0,0,0,0,0,1,0,1,6,30,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,3.4,18.54545455,51,2.4,33,10,3.4,22.17391304,22,2.4,34,0,3.4,16.06299213,60.8,2.4,19.392,50.4,3.4,18.54545455,142
852,6:29:00 PM,5,7,9,7,20,10,0,0,0,0,0,0,0,0,0,6,4,30,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,3.7,20.18181818,55.5,3,42,10,3.7,24.13043478,23.5,3,42,0,3.7,17.48031496,64.4,3,24.24,60,3.7,20.18181818,151
853,6:20:00 PM,5,6,9,2,25,60,0,0,0,0,1,0,0,0,0,2,6,20,0,1,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,5.3,28.90909091,79.5,3.6,50,10,5.3,34.56521739,31.5,3.6,50,0,5.3,25.03937008,83.6,3.6,29.088,69.6,5.3,28.90909091,199
854,6:38:00 PM,5,7,9,2,20,40,1,0,0,0,0,0,0,0,0,6,2,20,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2.8,15.27272727,42,2.3,27,10,2.8,18.26086957,19,2,27,0,2.8,13.22834646,53.6,2,16.16,38,2.8,15.27272727,130
855,6:44:00 PM,5,5,9,2,25,60,0,0,0,0,0,0,0,0,0,2,5,30,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,3.8,20.72727273,57,4,36,10,3.8,24.7826087,24,3.2,45,0,3.8,17.95275591,65.6,3.2,25.856,63.2,3.8,20.72727273,154
856,6:56:00 PM,5,7,16,7,25,10,0,0,0,0,0,0,0,0,0,3,4,30,0,4,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,3.7,20.18181818,55.5,2.5,35,10,3.7,24.13043478,23.5,2.5,35,0,3.7,17.48031496,64.4,2.5,20.2,52,3.7,20.18181818,151
857,6:50:00 PM,5,7,9,2,20,40,0,0,0,0,0,0,0,0,0,6,4,30,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,3.3,18,49.5,2.8,31,10,3.3,21.52173913,21.5,2.6,36,0,3.3,15.59055118,59.6,2.6,21.008,53.6,3.3,18,139
858,7:29:00 PM,6,7,12,2,10,30,0,0,0,0,0,0,0,0,0,4,4,30,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,3.7,20.18181818,55.5,1.4,19,10,3.7,24.13043478,23.5,1.4,19,0,3.7,17.48031496,64.4,1.4,11.312,30.8,3.7,20.18181818,151
859,8:00:00 PM,6,7,9,2,20,50,0,0,0,0,0,0,0,0,0,6,4,30,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,3.7,20.18181818,55.5,3.1,35,10,3.7,24.13043478,23.5,2.8,39,0,3.7,17.48031496,64.4,2.8,22.624,56.8,3.7,20.18181818,151
860,8:16:00 PM,6,7,9,7,20,10,0,0,0,0,1,0,0,1,0,3,1,40,0,5,60,0,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,5.8,31.63636364,87,5.1,62,12.495,5.8,37.82608696,34,4.6,64,0,5.8,27.4015748,89.6,4.6,37.168,85.6,5.8,31.63636364,214
861,8:42:00 PM,6,1,16,7,20,10,0,0,0,0,0,0,0,0,0,4,1,40,0,5,80,0,1,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,2.2,12,33,1.7,24,10,2.2,14.34782609,16,1.7,24,0,2.2,10.39370079,46.4,1.7,13.736,34.4,2.2,12,130
862,12:14:00 PM,2,8,11,7,20,10,0,0,0,0,0,0,0,0,0,4,8,30,1,2,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,3.7,20.18181818,55.5,1.8,21,10,3.7,24.13043478,23.5,1.6,22,0,3.7,17.48031496,64.4,1.6,12.928,33.2,3.7,20.18181818,151
863,12:20:00 PM,2,2,11,7,25,10,0,0,0,0,0,0,0,0,0,4,2,20,0,1,5,0,0,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,4.5,24.54545455,67.5,5.6,63,13.72,4.5,29.34782609,27.5,4.2,59,0,4.5,21.25984252,74,4.2,33.936,79.2,4.5,24.54545455,175
864,12:29:00 PM,2,6,6,2,15,50,1,0,0,0,0,0,1,0,0,3,6,30,1,4,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,0.4,2.181818182,6,0.4,6,10,0.4,2.608695652,10,0.4,6,0,0.4,1.88976378,24.8,0.4,3.232,20,0.4,2.181818182,100
865,12:38:00 PM,2,8,12,2,15,40,1,0,0,0,0,0,1,0,0,5,2,20,0,1,20,0,1,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1.8,9.818181818,27,0.7,9,10,1.8,11.73913043,15,0.7,9,0,1.8,8.503937008,41.6,0.7,5.656,22.4,1.8,9.818181818,100
866,12:45:00 PM,2,4,7,7,15,10,0,1,0,0,0,0,0,0,0,4,4,40,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,3.4,18.54545455,51,3.2,26,10,3.4,22.17391304,22,2.3,32,0,3.4,16.06299213,60.8,2.3,18.584,48.8,3.4,18.54545455,142
867,12:55:00 PM,2,3,6,2,15,40,0,0,0,0,1,0,0,1,0,1,5,40,1,2,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,5.454545455,15,0.9,13,10,1,6.52173913,10,0.9,13,0,1,4.724409449,32,0.9,7.272,24.8,1,5.454545455,100
868,1:06:00 PM,3,6,6,2,15,40,1,0,0,0,0,0,0,1,0,1,2,20,0,1,20,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1.8,9.818181818,27,1.5,22,10,1.8,11.73913043,15,1.5,22,0,1.8,8.503937008,41.6,1.5,12.12,32,1.8,9.818181818,100
869,1:13:00 PM,3,7,6,7,10,10,1,0,0,0,0,0,0,0,0,4,2,20,1,1,5,0,1,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1.8,9.818181818,27,1.5,22,10,1.8,11.73913043,15,1.5,22,0,1.8,8.503937008,41.6,1.5,12.12,32,1.8,9.818181818,100
870,1:20:00 PM,3,4,12,2,20,50,0,0,0,0,0,0,0,0,0,6,4,30,0,4,20,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,3.8,20.72727273,57,4,36,10,3.8,24.7826087,24,3.2,45,0,3.8,17.95275591,65.6,3.2,25.856,63.2,3.8,20.72727273,154
871,1:22:00 PM,3,1,6,1,10,0,0,0,0,0,1,0,0,0,0,3,1,40,0,5,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1.3,7.090909091,19.5,1.3,18,10,1.3,8.47826087,15,1.3,18,0,1.3,6.141732283,35.6,1.3,10.504,29.6,1.3,7.090909091,100
872,1:33:00 PM,3,2,14,2,10,20,0,0,0,0,0,0,0,0,0,6,2,20,1,1,5,0,0,0,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1.4,7.636363636,21,0,5,10,1.4,9.130434783,15,1.3,18,0,1.4,6.614173228,36.8,1.3,10.504,29.6,1.4,7.636363636,100
873,1:33:00 PM,3,5,6,7,10,10,0,0,0,0,0,0,0,0,0,2,5,30,1,2,20,0,1,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,2.6,14.18181818,39,1.7,15,10,2.6,16.95652174,18,1.7,24,0,2.6,12.28346457,51.2,1.7,13.736,34.4,2.6,14.18181818,130
874,1:39:00 PM,3,7,6,2,20,30,0,0,0,0,0,1,0,0,0,5,2,30,1,2,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,3.9,21.27272727,58.5,3.3,46,10,3.9,25.43478261,24.5,3.3,46,0,3.9,18.42519685,66.8,3.3,26.664,64.8,3.9,21.27272727,157
875,1:40:00 PM,3,7,6,2,15,30,1,0,0,0,0,0,0,0,0,4,1,40,0,5,60,0,1,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,2.4,13.09090909,36,2.3,32,10,2.4,15.65217391,17,2.3,32,0,2.4,11.33858268,48.8,2.3,18.584,48.8,2.4,13.09090909,130
876,1:48:00 PM,3,6,6,2,10,20,0,0,0,0,0,0,0,1,0,2,6,20,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2,10.90909091,30,1.1,10,10,2,13.04347826,15,1.1,15,0,2,9.448818898,44,1.1,8.888,27.2,2,10.90909091,100
877,1:51:00 PM,3,7,6,2,15,30,1,0,0,0,0,0,0,0,0,5,2,20,0,1,20,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0.4,2.181818182,6,0.4,6,10,0.4,2.608695652,10,0.4,6,0,0.4,1.88976378,24.8,0.4,3.232,20,0.4,2.181818182,100
878,1:58:00 PM,3,6,6,2,10,20,0,0,0,0,0,0,0,1,0,2,6,20,1,1,5,1,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,10.90909091,30,1.1,10,10,2,13.04347826,15,1.1,15,0,2,9.448818898,44,1.1,8.888,27.2,2,10.90909091,100
879,2:05:00 PM,3,8,1,2,10,30,0,0,0,0,0,0,0,0,0,2,4,30,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2,10.90909091,30,1.9,27,10,2,13.04347826,15,1.9,27,0,2,9.448818898,44,1.9,15.352,36.8,2,10.90909091,100
880,2:18:00 PM,3,1,13,2,15,50,0,0,0,0,0,0,0,0,0,4,1,40,0,5,80,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2.7,14.72727273,40.5,2,28,10,2.7,17.60869565,18.5,2,28,0,2.7,12.75590551,52.4,2,16.16,38,2.7,14.72727273,130
881,2:24:00 PM,3,5,6,7,30,10,0,0,0,0,0,0,0,0,0,2,4,30,0,4,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,4.8,26.18181818,72,4.5,27,11.025,4.8,31.30434783,29,3.9,54,0,4.8,22.67716535,77.6,3.9,31.512,74.4,4.8,26.18181818,184
882,2:44:00 PM,3,4,8,7,35,15,1,0,0,0,0,0,0,0,0,4,4,40,0,3,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,7.1,38.72727273,106.5,7.1,44,17.395,7.1,46.30434783,40.5,4.2,59,0,7.1,33.54330709,105.2,4.2,33.936,79.2,7.1,38.72727273,253
